namaste_code,term_sanskrit,term_english,definition,icd11_tm2_mapped_code,demo_case_type
NAMC-A001,Amlapitta,Hyperacidity disorder,"Digestive disorder characterized by excess acidity, burning sensation in chest/throat, sour eructation, typically linked to Pitta dosha aggravation",TM2-DEMO-01,already_mapped_easy
NAMC-A002,Grahani,Malabsorption / IBS-type disorder,"Disorder of the digestive fire (Agni) at the level of the small intestine causing irregular digestion, alternating loose/hard stools",TM2-DEMO-02,already_mapped_easy
NAMC-A003,Jwara,Fever (general),"Elevated body temperature classified by dosha involvement (Vataja, Pittaja, Kaphaja) and stage of progression",TM2-DEMO-03,already_mapped_easy
NAMC-A004,Kasa,Cough disorder,"Respiratory condition presenting as persistent cough, classified by causative dosha and associated symptoms",TM2-DEMO-04,already_mapped_easy
NAMC-A005,Shwasa,Dyspnea / breathlessness disorder,"Respiratory disorder with difficulty breathing, classified into five types by severity and dosha involvement",TM2-DEMO-05,already_mapped_easy
NAMC-A006,Prameha,Metabolic urinary disorder (diabetes-spectrum),"Group of 20 urinary disorders characterized by excessive/abnormal urination, includes Madhumeha (diabetes-like presentation)",TM2-DEMO-06,already_mapped_easy
NAMC-A007,Kushtha,Skin disorder (general),"Broad category of skin diseases classified by dosha predominance, color, texture and distribution of lesions",TM2-DEMO-07,already_mapped_medium
NAMC-A008,Arsha,Hemorrhoids,"Vascular swellings in the anal canal, classified by dosha type and bleeding/non-bleeding presentation",TM2-DEMO-08,already_mapped_easy
NAMC-A009,Vatarakta,Gout-type joint disorder,"Vitiation of Vata and Rakta (blood) causing joint pain and swelling, often in peripheral joints",TM2-DEMO-09,already_mapped_medium
NAMC-A010,Pandu,Anemia-type disorder,"Pallor and weakness disorder linked to Pitta-dominant dhatu depletion, resembling anemia presentation",TM2-DEMO-10,already_mapped_easy
NAMC-A011,Sandhivata,Osteoarthritis-type joint disorder,"Vata-predominant degenerative joint disorder causing pain, crepitus and reduced mobility, typically in weight-bearing joints",,unmapped_needs_postcoordination_medium
NAMC-A012,Vata-Kapha Sandhivata Sheetavriddhi,Joint disorder with cold aggravation,"A detailed subtype of Sandhivata where symptoms are specifically aggravated by cold exposure and Kapha involvement is present alongside Vata",,unmapped_needs_postcoordination_hard
NAMC-A013,Urustambha,Thigh stiffness disorder,"Stiffness and heaviness localized to the thigh region caused by combined Vata-Kapha obstruction, distinct from general joint stiffness",,unmapped_needs_postcoordination_hard
NAMC-A014,Hridroga,Cardiac disorder (general),"Heart-related disorder classified by dosha predominance (Vataja, Pittaja, Kaphaja, Tridoshaja) and by involvement of Rakta/Kapha",,unmapped_needs_postcoordination_medium
