code,code_type,display,description
TM2-STEM-01,stem,Digestive system disorder,"Disorder affecting digestive function, appetite, or gastrointestinal processing"
TM2-STEM-02,stem,Joint disorder,"Disorder affecting joint structure, mobility, or function"
TM2-STEM-03,stem,Respiratory disorder,"Disorder affecting breathing, airway, or lung function"
TM2-STEM-04,stem,Cardiac disorder,"Disorder affecting heart function or circulation"
TM2-STEM-05,stem,Urinary system disorder,"Disorder affecting urination, bladder, or urinary tract"
TM2-STEM-06,stem,Skin disorder,"Disorder affecting skin structure, pigmentation, or integrity"
TM2-STEM-07,stem,Metabolic disorder,"Disorder affecting metabolism, body weight, or energy regulation"
TM2-STEM-08,stem,Mental/behavioral disorder,"Disorder affecting cognition, mood, or behavior"
TM2-STEM-09,stem,Neurological disorder,"Disorder affecting nerve function, seizures, or consciousness"
TM2-STEM-10,stem,Gynecological disorder,"Disorder affecting the female reproductive system"
TM2-STEM-11,stem,Bleeding disorder,"Disorder involving spontaneous or abnormal bleeding"
TM2-STEM-12,stem,Bowel motility disorder,"Disorder affecting bowel movement frequency or ease"
TM2-STEM-13,stem,Ophthalmic disorder,"Disorder affecting vision or eye tissue"
TM2-STEM-14,stem,Ear disorder,"Disorder affecting hearing or ear function, including abnormal sound perception"
TM2-STEM-15,stem,Headache disorder,"Disorder presenting as head pain, of varying location and severity"
TM2-STEM-16,stem,Hepatic/biliary disorder,"Disorder affecting liver function, presenting with jaundice or discoloration"
TM2-STEM-17,stem,Wound healing disorder,"Disorder affecting tissue integrity or wound healing"
TM2-STEM-18,stem,Sleep disorder,"Disorder affecting sleep onset, duration, or quality"
TM2-STEM-19,stem,Blood disorder,"Disorder affecting blood composition, causing pallor or weakness"
TM2-STEM-20,stem,Thirst regulation disorder,"Disorder of abnormal or excessive thirst"
TM2-STEM-21,stem,Vomiting disorder,"Disorder presenting as repeated or forceful vomiting"
TM2-STEM-22,stem,Abdominal mass disorder,"Disorder presenting as a palpable abdominal swelling or lump"
TM2-STEM-23,stem,Muscular stiffness disorder,"Disorder presenting as localized stiffness or heaviness in muscle tissue"
TM2-STEM-24,stem,Systemic joint inflammation disorder,"Disorder involving multiple joints affected symmetrically, with systemic component"
TM2-PAT-01,pattern,Cold pattern,"Pattern of symptoms aggravated or characterized by cold, with reduced warmth in the affected area"
TM2-PAT-02,pattern,Heat pattern,"Pattern of symptoms aggravated or characterized by heat, warmth, or burning quality"
TM2-PAT-03,pattern,Wind/movement pattern,"Pattern of symptoms characterized by movement, instability, dryness, or erratic quality"
TM2-PAT-04,pattern,Damp-phlegm pattern,"Pattern of symptoms characterized by heaviness, accumulation, congestion, or excess fluid/mucus"
TM2-PAT-05,pattern,Deficiency pattern,"Pattern of symptoms characterized by depletion, weakness, or insufficient vital function"
TM2-PAT-06,pattern,Excess pattern,"Pattern of symptoms characterized by overactivity, accumulation, or excess vital function"
TM2-PAT-07,pattern,Stagnation pattern,"Pattern of symptoms characterized by blockage, stasis, or reduced flow"
TM2-PAT-08,pattern,Dryness pattern,"Pattern of symptoms characterized by dryness or reduced secretion"
TM2-PAT-09,pattern,Toxic accumulation pattern,"Pattern of symptoms characterized by buildup of undigested or toxic metabolic byproduct"
TM2-PAT-10,pattern,Blood stasis pattern,"Pattern of symptoms characterized by poor blood circulation or localized blood pooling"
